ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.008,0.008,/geode2/home/u015/baotruon/BigRed200/osome-csdl-ranking-challenge/app/ranker_profile.py:57(har_and_profile)
1,0.000,0.000,0.008,0.008,/geode2/home/u015/baotruon/BigRed200/osome-csdl-ranking-challenge/libs/osomerank/elicited_response.py:91(har_prediction)
1,0.000,0.000,0.008,0.008,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/pipelines/base.py:991(predict)
1,0.000,0.000,0.008,0.008,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/pipelines/text_classification.py:121(__call__)
1,0.000,0.000,0.008,0.008,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/pipelines/base.py:1181(__call__)
1,0.000,0.000,0.008,0.008,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/pipelines/base.py:1248(run_single)
1,0.000,0.000,0.008,0.008,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/pipelines/base.py:1141(forward)
1,0.000,0.000,0.007,0.007,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/pipelines/text_classification.py:182(_forward)
230/1,0.000,0.000,0.007,0.007,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/torch/nn/modules/module.py:1528(_wrapped_call_impl)
230/1,0.000,0.000,0.007,0.007,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/torch/nn/modules/module.py:1534(_call_impl)
1,0.000,0.000,0.007,0.007,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/models/roberta/modeling_roberta.py:1166(forward)
1,0.000,0.000,0.007,0.007,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/models/roberta/modeling_roberta.py:722(forward)
1,0.000,0.000,0.007,0.007,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/models/roberta/modeling_roberta.py:477(forward)
12,0.000,0.000,0.007,0.001,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/models/roberta/modeling_roberta.py:398(forward)
12,0.000,0.000,0.004,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/models/roberta/modeling_roberta.py:327(forward)
12,0.001,0.000,0.003,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/models/roberta/modeling_roberta.py:177(forward)
12,0.000,0.000,0.002,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/pytorch_utils.py:166(apply_chunking_to_forward)
74,0.000,0.000,0.002,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/torch/nn/modules/linear.py:115(forward)
74,0.002,0.000,0.002,0.000,{built-in method torch._C._nn.linear}
12,0.000,0.000,0.002,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/models/roberta/modeling_roberta.py:463(feed_forward_chunk)
12,0.000,0.000,0.001,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/models/roberta/modeling_roberta.py:287(forward)
12,0.000,0.000,0.001,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/models/roberta/modeling_roberta.py:375(forward)
24,0.001,0.000,0.001,0.000,{built-in method torch.matmul}
12,0.000,0.000,0.001,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/models/roberta/modeling_roberta.py:361(forward)
25,0.000,0.000,0.001,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/torch/nn/modules/normalization.py:200(forward)
13,0.000,0.000,0.001,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/inspect.py:3103(signature)
13,0.000,0.000,0.001,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/inspect.py:2851(from_callable)
25,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/torch/nn/functional.py:2558(layer_norm)
26/13,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/inspect.py:2218(_signature_from_callable)
25,0.000,0.000,0.000,0.000,{built-in method torch.layer_norm}
36,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/models/roberta/modeling_roberta.py:172(transpose_for_scores)
13,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/inspect.py:2124(_signature_from_function)
39,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/torch/nn/modules/dropout.py:58(forward)
1,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/models/roberta/modeling_roberta.py:86(forward)
423,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/torch/nn/modules/module.py:1696(__getattr__)
12,0.000,0.000,0.000,0.000,{method 'contiguous' of 'torch._C.TensorBase' objects}
